"data_id","language","form","age","gender","mom_ed","comprehension","production"
32770,"Russian","WG",14,"Male",NA,88,0
32771,"Russian","WG",14,"Female",NA,141,15
32772,"Russian","WG",14,"Female",NA,163,8
32773,"Russian","WG",14,"Female",NA,233,10
32774,"Russian","WG",14,"Female",NA,223,12
32775,"Russian","WG",14,"Male",NA,281,46
32776,"Russian","WG",14,"Male",NA,352,64
32777,"Russian","WG",14,"Female",NA,258,71
32778,"Russian","WG",14,"Female",NA,139,4
32779,"Russian","WG",14,"Female",NA,253,22
32780,"Russian","WG",14,"Female",NA,320,50
32781,"Russian","WG",14,"Male",NA,98,7
32782,"Russian","WG",14,"Female",NA,169,15
32783,"Russian","WG",14,"Male",NA,242,17
32784,"Russian","WG",14,"Male",NA,267,96
32785,"Russian","WG",14,"Male",NA,402,77
32786,"Russian","WG",14,"Male",NA,93,10
32787,"Russian","WG",14,"Female",NA,114,19
32788,"Russian","WG",14,"Female",NA,344,100
32789,"Russian","WG",14,"Female",NA,317,1
32790,"Russian","WG",14,"Male",NA,220,36
32791,"Russian","WG",14,"Male",NA,249,37
32792,"Russian","WG",14,"Male",NA,239,18
32793,"Russian","WG",14,"Female",NA,108,15
32794,"Russian","WG",14,"Female",NA,316,8
32795,"Russian","WG",14,"Male",NA,178,59
32796,"Russian","WG",14,"Female",NA,36,9
32797,"Russian","WG",14,"Male",NA,189,4
32798,"Russian","WG",14,"Male",NA,180,14
32799,"Russian","WG",14,"Male",NA,275,6
32800,"Russian","WG",14,"Male",NA,253,37
32801,"Russian","WG",14,"Female",NA,174,14
32802,"Russian","WG",14,"Male",NA,161,42
32803,"Russian","WG",14,"Male",NA,238,12
32804,"Russian","WG",14,"Female",NA,188,7
32805,"Russian","WG",14,"Female",NA,176,12
32806,"Russian","WG",14,"Female",NA,237,20
32807,"Russian","WG",14,"Male",NA,64,2
32808,"Russian","WG",14,"Female",NA,357,36
32809,"Russian","WG",14,"Female",NA,241,18
32810,"Russian","WG",14,"Female",NA,331,39
32811,"Russian","WG",14,"Male",NA,351,36
32812,"Russian","WG",14,"Female",NA,95,13
32813,"Russian","WG",14,"Male",NA,220,10
32814,"Russian","WG",14,"Male",NA,142,8
32815,"Russian","WG",14,"Female",NA,205,21
32816,"Russian","WG",14,"Female",NA,116,31
32817,"Russian","WG",14,"Female",NA,243,56
32818,"Russian","WG",14,"Female",NA,289,99
32819,"Russian","WG",14,"Male",NA,244,14
32820,"Russian","WG",14,"Male",NA,167,13
32821,"Russian","WG",14,"Male",NA,142,8
32822,"Russian","WG",14,"Male",NA,165,0
32823,"Russian","WG",14,"Female",NA,198,32
32824,"Russian","WG",14,"Female",NA,386,10
32825,"Russian","WG",14,"Male",NA,367,44
32826,"Russian","WG",14,"Female",NA,232,15
32827,"Russian","WG",14,"Male",NA,358,76
32828,"Russian","WG",14,"Female",NA,193,19
32829,"Russian","WG",14,"Female",NA,179,14
32830,"Russian","WG",14,"Female",NA,125,8
32831,"Russian","WG",14,"Female",NA,187,15
32832,"Russian","WG",14,"Female",NA,202,14
32833,"Russian","WG",14,"Male",NA,223,19
32834,"Russian","WG",14,"Female",NA,331,27
